Comment,Designator,Footprint,LCSC Part #
0ohm,DIS,SJ,
1k,R11 R17 R18,R0805,C11702 
1uF,C8,C0402,C52923
4.7k,R1,R0402,C25900 
4.7uF,C5,C0402,C23733 
5.1k,R4 R5,R0402,C25905 
7pF,C4 C11,C0402,C1577 
10k,R2 R3 R6 R10 R12 R13 R14 R15 R16 R19 R21 R22 R23 R24 R29,R0402,C25744 
10uF,C10,A/3216-18R,C7171
22uF,C15 C18,C0603,C59461 
32.768KHZ,G1,32.768KHZ,C97602
78L05G,VR1,SOT89,C71136
100k,R7 R8,R0402,C25741 
100nF,C2 C3 C6 C7 C9 C13 C17 C19 C21,C0402,C1525 
100uF,C16,B/3528-21W,C16133
220uF,C14,D/7343-31R,C7231
330nF,C1,C0805,C1740 
AMS1117-3.3,VR2,SOT223,C6186
AO3400A,Q1 Q2 Q3 Q4,SOT23,C20917
C2286,3V3 5V,CHIPLED_0603,C2286
CP2102,IC1,MLP28,C6568
ESP32-WROOM-32,U1,MODULE_ESP32-WROOM-32,C529577
JST-PH-4,AS7262 I2C_EXT MAX4466 MIX8410 SCD30 TSL2591 VOC_AE VOC_DAT,JST-PH-4,C50137 
LESD5D5.0CT1G,D1 D3 D4,LESD5D5.0CT1G,C383211
M7,D2 D5,DO-214AC,C95872
M50-3600542,LDS,M503600542,
PCF8563T,RTC1,SOIC8,C7440
SS8050,T1 T2,SOT23-BEC,C2150
TF-115,TF115,TF-115,C266620
TS-1187A-C-E-B,BOOT RST,TS-1187A-C-E-B,C318887
TYPE-C-31-M-12,J2,HRO_TYPE-C-31-M-12,C165948
YELLOW,LED,CHIPLED_0603,C72038
