Designator,Mid X,Mid Y,Layer,Rotation
3V3,-14.22,-1.78,Top,270.0
5V,-14.22,-0.76,Top,90.0
AS7262,-13.97,-30.61,Top,180.0
BOOT,-10.16, 9.14,Top,0.0
C1,-3.05,-2.03,Top,0.0
C2,-10.16,24.51,Top,0.0
C3,-10.16,12.45,Top,180.0
C4, 2.54,-11.56,Top,270.0
C5,-17.78,12.45,Top,0.0
C6,-21.34,12.32,Top,180.0
C7,-21.34,18.80,Top,0.0
C8,-21.34,11.05,Top,0.0
C9,18.16,29.85,Top,0.0
C10, 4.32,-7.11,Top,180.0
C11, 7.11,-11.56,Top,270.0
C13,-8.00,-0.13,Top,180.0
C14,-17.02,-11.18,Top,270.0
C15,-8.00,-1.91,Top,180.0
C16, 4.45, 2.54,Top,180.0
C17,25.40,25.65,Top,180.0
C18,28.83,26.29,Top,180.0
C19,-15.37, 9.27,Top,0.0
C21,-8.00, 3.43,Top,180.0
D1,-21.34,19.81,Top,180.0
D2,-4.06,-6.35,Top,270.0
D3,-21.34,14.61,Top,180.0
D4,-21.34,16.64,Top,180.0
D5,-0.76,-6.35,Top,270.0
DIS,-3.56,25.53,Top,0.0
G1, 4.95,-11.43,Top,180.0
I2C_EXT,-5.84,-16.00,Top,180.0
IC1,-15.24,15.75,Top,0.0
J2,-29.08,15.49,Top,270.0
LDS,-26.42,-13.84,Top,270.0
LED,29.08, 5.33,Top,270.0
MAX4466,25.65,-27.94,Top,270.0
MIX8410,-27.05,-27.94,Top,90.0
Q1,-17.14,23.62,Top,0.0
Q2,-20.32,23.62,Top,0.0
Q3,-20.32,28.45,Top,180.0
Q4,-17.14,28.45,Top,180.0
R1,-15.62,11.81,Top,270.0
R2,-20.32,30.86,Top,180.0
R3,-20.32,21.21,Top,0.0
R4,-21.34,13.59,Top,0.0
R5,-21.34,17.65,Top,0.0
R6,-17.14,21.21,Top,0.0
R7,15.11, 3.30,Top,180.0
R8,18.92, 2.92,Top,270.0
R10,-22.48,23.50,Top,90.0
R11,-14.22,-5.21,Top,0.0
R12,-15.49,24.51,Top,180.0
R13,-17.14,30.86,Top,180.0
R14,-15.49,26.54,Top,180.0
R15,-15.11, 6.10,Top,270.0
R16,-13.97,12.45,Top,180.0
R17,-8.00, 1.65,Top,0.0
R18,25.78, 5.33,Top,0.0
R19,-22.48,28.45,Top,270.0
R21,-7.11,24.26,Top,90.0
R22,-7.11,12.95,Top,270.0
R23,-9.02,18.16,Top,90.0
R24,-11.30,18.16,Top,270.0
R29,-15.11, 3.43,Top,90.0
RST,-10.16,27.94,Top,180.0
RTC1, 4.83,-16.00,Top,270.0
SCD30,-0.64,-30.61,Top,180.0
T1,-10.16,20.07,Top,180.0
T2,-10.16,16.26,Top,0.0
TF115,-28.96,-1.40,Top,270.0
TSL2591,12.70,-30.61,Top,180.0
U1,17.65,15.75,Top,270.0
VOC_AE,25.65,-15.11,Top,270.0
VOC_DAT,25.65,-2.29,Top,270.0
VR1,-2.41, 1.78,Top,270.0
VR2, 9.14,-2.03,Top,270.0
